Teks_Manado,Teks_Indo
Torang ba tele tugas skripsi diam-diam sto.,Kami menelepon tugas skripsi diam-diam.
Dorang so beking hp pas ujang to.,Mereka sudah membuat handphone saat hujan.
Dia ba tele hp cepat-cepat sto.,Dia menelepon handphone dengan cepat.
Ngoni ada lia hp di Megamas jo.,Kalian melihat handphone di Megamas.
Ngana ada lia hp diam-diam dang.,Kamu melihat handphone diam-diam.
Paitua so makang baju baru kemarin sore to.,Pacar (lk) sudah makan baju baru kemarin sore.
Tu dosen lupa bawa laporan tadi pagi kote.,Dosen itu lupa membawa laporan tadi pagi.
Maitua so jual doi kemarin sore kang.,Pacar (pr) sudah menjual uang kemarin sore.
Tu dosen ada lia laporan pas ujang kang.,Dosen itu melihat laporan saat hujan.
Tu dosen so makang oto tadi pagi kote.,Dosen itu sudah makan mobil tadi pagi.
Ngana mo pigi cari hp di kampus jo.,Kamu akan pergi mencari handphone di kampus.
Ngana so makang tugas skripsi diam-diam jo.,Kamu sudah makan tugas skripsi diam-diam.
Torang mo pigi cari kunci rumah cepat-cepat dang.,Kami akan pergi mencari kunci rumah dengan cepat.
Torang nyanda suka baju baru diam-diam dang.,Kami tidak suka baju baru diam-diam.
Dorang mo pigi cari oto cepat-cepat to.,Mereka akan pergi mencari mobil dengan cepat.
Ngoni nyanda suka doi pas ujang kote.,Kalian tidak suka uang saat hujan.
Ngana so makang hp di kampus kote.,Kamu sudah makan handphone di kampus.
Dorang so beking tugas skripsi diam-diam neh.,Mereka sudah membuat tugas skripsi diam-diam.
Ngoni nyanda suka baju baru kemarin sore to.,Kalian tidak suka baju baru kemarin sore.
Paitua nyanda suka laporan pas ujang sto.,Pacar (lk) tidak suka laporan saat hujan.
Tu dosen ba tele oto diam-diam kote.,Dosen itu menelepon mobil diam-diam.
Ngana ada lia baju baru cepat-cepat to.,Kamu melihat baju baru dengan cepat.
Kita so makang tugas skripsi di kampus kote.,Saya sudah makan tugas skripsi di kampus.
Maitua lupa bawa kunci rumah diam-diam jo.,Pacar (pr) lupa membawa kunci rumah diam-diam.
Kita mo pigi cari tugas skripsi tadi pagi sto.,Saya akan pergi mencari tugas skripsi tadi pagi.
Ngana mo pigi cari oto pas ujang sto.,Kamu akan pergi mencari mobil saat hujan.
Maitua so jual baju baru di Megamas kote.,Pacar (pr) sudah menjual baju baru di Megamas.
Dorang ada lia tugas skripsi di Megamas kang.,Mereka melihat tugas skripsi di Megamas.
Tu dosen so beking tugas skripsi di Megamas sto.,Dosen itu sudah membuat tugas skripsi di Megamas.
Dorang mo pigi cari hp di Megamas kote.,Mereka akan pergi mencari handphone di Megamas.
Kita ada lia laporan cepat-cepat jo.,Saya melihat laporan dengan cepat.
Ngoni ba tele tugas skripsi diam-diam kang.,Kalian menelepon tugas skripsi diam-diam.
Mama mo pigi cari doi di kampus jo.,Ibu akan pergi mencari uang di kampus.
Kita mo pigi cari kunci rumah tadi pagi sto.,Saya akan pergi mencari kunci rumah tadi pagi.
Maitua mo pigi cari tugas skripsi kemarin sore kang.,Pacar (pr) akan pergi mencari tugas skripsi kemarin sore.
Maitua nyanda suka hp diam-diam kote.,Pacar (pr) tidak suka handphone diam-diam.
Dorang mo pigi cari oto pas ujang jo.,Mereka akan pergi mencari mobil saat hujan.
Ngana nyanda suka laporan di Megamas kote.,Kamu tidak suka laporan di Megamas.
Paitua ba tele tugas skripsi cepat-cepat to.,Pacar (lk) menelepon tugas skripsi dengan cepat.
Tu dosen ba tele oto pas ujang sto.,Dosen itu menelepon mobil saat hujan.
Paitua mo pigi cari kunci rumah diam-diam jo.,Pacar (lk) akan pergi mencari kunci rumah diam-diam.
Mama so jual makanan pas ujang neh.,Ibu sudah menjual makanan saat hujan.
Torang nyanda suka makanan diam-diam dang.,Kami tidak suka makanan diam-diam.
Ngana mo pigi cari makanan diam-diam neh.,Kamu akan pergi mencari makanan diam-diam.
Paitua ada lia oto di Megamas jo.,Pacar (lk) melihat mobil di Megamas.
Dia so beking laporan pas ujang jo.,Dia sudah membuat laporan saat hujan.
Ngoni so beking tugas skripsi pas ujang neh.,Kalian sudah membuat tugas skripsi saat hujan.
Paitua ada lia makanan kemarin sore neh.,Pacar (lk) melihat makanan kemarin sore.
Mama ba tele oto pas ujang dang.,Ibu menelepon mobil saat hujan.
Maitua ba tele tugas skripsi pas ujang sto.,Pacar (pr) menelepon tugas skripsi saat hujan.
Paitua mo pigi cari hp pas ujang neh.,Pacar (lk) akan pergi mencari handphone saat hujan.
Mama so beking makanan di Megamas neh.,Ibu sudah membuat makanan di Megamas.
Paitua so beking doi cepat-cepat to.,Pacar (lk) sudah membuat uang dengan cepat.
Dorang ada lia makanan di kampus to.,Mereka melihat makanan di kampus.
Tu dosen ada lia oto tadi pagi sto.,Dosen itu melihat mobil tadi pagi.
Torang nyanda suka tugas skripsi cepat-cepat dang.,Kami tidak suka tugas skripsi dengan cepat.
Maitua ada lia baju baru kemarin sore kang.,Pacar (pr) melihat baju baru kemarin sore.
Dia so beking doi cepat-cepat sto.,Dia sudah membuat uang dengan cepat.
Ngana ada lia hp di kampus to.,Kamu melihat handphone di kampus.
Dorang ada lia hp di kampus jo.,Mereka melihat handphone di kampus.
Dorang mo pigi cari hp kemarin sore neh.,Mereka akan pergi mencari handphone kemarin sore.
Tu dosen so beking laporan di Megamas kang.,Dosen itu sudah membuat laporan di Megamas.
Paitua so beking makanan kemarin sore to.,Pacar (lk) sudah membuat makanan kemarin sore.
Maitua mo pigi cari oto di Megamas to.,Pacar (pr) akan pergi mencari mobil di Megamas.
Mama nyanda suka oto kemarin sore sto.,Ibu tidak suka mobil kemarin sore.
Maitua ba tele baju baru cepat-cepat neh.,Pacar (pr) menelepon baju baru dengan cepat.
Kita nyanda suka tugas skripsi tadi pagi sto.,Saya tidak suka tugas skripsi tadi pagi.
Tu dosen lupa bawa kunci rumah kemarin sore sto.,Dosen itu lupa membawa kunci rumah kemarin sore.
Dorang ba tele baju baru pas ujang dang.,Mereka menelepon baju baru saat hujan.
Mama ba tele kunci rumah di Megamas to.,Ibu menelepon kunci rumah di Megamas.
Kita so makang hp di Megamas sto.,Saya sudah makan handphone di Megamas.
Maitua mo pigi cari tugas skripsi kemarin sore to.,Pacar (pr) akan pergi mencari tugas skripsi kemarin sore.
Dorang so beking hp cepat-cepat kang.,Mereka sudah membuat handphone dengan cepat.
Ngoni so jual laporan diam-diam kote.,Kalian sudah menjual laporan diam-diam.
Kita so makang kunci rumah tadi pagi to.,Saya sudah makan kunci rumah tadi pagi.
Dia ada lia tugas skripsi cepat-cepat sto.,Dia melihat tugas skripsi dengan cepat.
Tu dosen so jual kunci rumah kemarin sore dang.,Dosen itu sudah menjual kunci rumah kemarin sore.
Mama nyanda suka hp cepat-cepat jo.,Ibu tidak suka handphone dengan cepat.
Tu dosen ada lia makanan tadi pagi kote.,Dosen itu melihat makanan tadi pagi.
Tu dosen ba tele baju baru di kampus neh.,Dosen itu menelepon baju baru di kampus.
Ngoni lupa bawa doi pas ujang kote.,Kalian lupa membawa uang saat hujan.
Kita nyanda suka tugas skripsi pas ujang sto.,Saya tidak suka tugas skripsi saat hujan.
Ngana nyanda suka oto di Megamas neh.,Kamu tidak suka mobil di Megamas.
Dia so beking doi diam-diam to.,Dia sudah membuat uang diam-diam.
Paitua mo pigi cari laporan di kampus kote.,Pacar (lk) akan pergi mencari laporan di kampus.
Dia ba tele doi cepat-cepat neh.,Dia menelepon uang dengan cepat.
Dorang so beking doi tadi pagi neh.,Mereka sudah membuat uang tadi pagi.
Paitua so makang oto di kampus dang.,Pacar (lk) sudah makan mobil di kampus.
Torang lupa bawa makanan cepat-cepat to.,Kami lupa membawa makanan dengan cepat.
Ngoni mo pigi cari doi cepat-cepat kote.,Kalian akan pergi mencari uang dengan cepat.
Paitua nyanda suka baju baru tadi pagi sto.,Pacar (lk) tidak suka baju baru tadi pagi.
Paitua ada lia tugas skripsi pas ujang jo.,Pacar (lk) melihat tugas skripsi saat hujan.
Ngoni so jual tugas skripsi tadi pagi jo.,Kalian sudah menjual tugas skripsi tadi pagi.
Kita so makang hp pas ujang kang.,Saya sudah makan handphone saat hujan.
Torang so jual oto pas ujang kote.,Kami sudah menjual mobil saat hujan.
Torang so jual baju baru di kampus jo.,Kami sudah menjual baju baru di kampus.
Dorang ada lia hp tadi pagi neh.,Mereka melihat handphone tadi pagi.
Tu dosen mo pigi cari tugas skripsi cepat-cepat jo.,Dosen itu akan pergi mencari tugas skripsi dengan cepat.
Paitua so beking tugas skripsi kemarin sore sto.,Pacar (lk) sudah membuat tugas skripsi kemarin sore.
Kita nyanda suka oto pas ujang sto.,Saya tidak suka mobil saat hujan.
Dorang ba tele baju baru pas ujang dang.,Mereka menelepon baju baru saat hujan.
Paitua ba tele tugas skripsi diam-diam neh.,Pacar (lk) menelepon tugas skripsi diam-diam.
Tu dosen ba tele baju baru tadi pagi to.,Dosen itu menelepon baju baru tadi pagi.
Kita so makang baju baru di kampus kang.,Saya sudah makan baju baru di kampus.
Ngoni ba tele makanan di Megamas to.,Kalian menelepon makanan di Megamas.
Dorang mo pigi cari doi pas ujang jo.,Mereka akan pergi mencari uang saat hujan.
Torang so makang laporan pas ujang dang.,Kami sudah makan laporan saat hujan.
Tu dosen so beking makanan diam-diam to.,Dosen itu sudah membuat makanan diam-diam.
Maitua ba tele makanan diam-diam jo.,Pacar (pr) menelepon makanan diam-diam.
Tu dosen ada lia oto cepat-cepat kang.,Dosen itu melihat mobil dengan cepat.
Ngoni so makang tugas skripsi pas ujang sto.,Kalian sudah makan tugas skripsi saat hujan.
Mama lupa bawa kunci rumah di kampus jo.,Ibu lupa membawa kunci rumah di kampus.
Dorang mo pigi cari doi di kampus neh.,Mereka akan pergi mencari uang di kampus.
Paitua so jual hp tadi pagi kote.,Pacar (lk) sudah menjual handphone tadi pagi.
Torang nyanda suka tugas skripsi kemarin sore neh.,Kami tidak suka tugas skripsi kemarin sore.
Torang mo pigi cari hp diam-diam kote.,Kami akan pergi mencari handphone diam-diam.
Ngana so beking makanan kemarin sore sto.,Kamu sudah membuat makanan kemarin sore.
Dorang ada lia tugas skripsi cepat-cepat kang.,Mereka melihat tugas skripsi dengan cepat.
Dorang so makang laporan di Megamas kote.,Mereka sudah makan laporan di Megamas.
Torang nyanda suka hp di Megamas kang.,Kami tidak suka handphone di Megamas.
Ngana so beking laporan diam-diam kang.,Kamu sudah membuat laporan diam-diam.
Maitua ada lia hp cepat-cepat jo.,Pacar (pr) melihat handphone dengan cepat.
Kita ada lia baju baru tadi pagi dang.,Saya melihat baju baru tadi pagi.
Kita lupa bawa kunci rumah pas ujang sto.,Saya lupa membawa kunci rumah saat hujan.
Maitua mo pigi cari tugas skripsi diam-diam sto.,Pacar (pr) akan pergi mencari tugas skripsi diam-diam.
Ngoni so beking oto diam-diam jo.,Kalian sudah membuat mobil diam-diam.
Paitua nyanda suka makanan kemarin sore to.,Pacar (lk) tidak suka makanan kemarin sore.
Paitua so beking doi di Megamas kang.,Pacar (lk) sudah membuat uang di Megamas.
Dorang ba tele tugas skripsi cepat-cepat to.,Mereka menelepon tugas skripsi dengan cepat.
Paitua so jual kunci rumah cepat-cepat jo.,Pacar (lk) sudah menjual kunci rumah dengan cepat.
Dia nyanda suka laporan di Megamas kote.,Dia tidak suka laporan di Megamas.
Tu dosen so beking oto kemarin sore kang.,Dosen itu sudah membuat mobil kemarin sore.
Dorang ba tele oto di kampus jo.,Mereka menelepon mobil di kampus.
Kita ba tele oto cepat-cepat to.,Saya menelepon mobil dengan cepat.
Ngoni lupa bawa laporan pas ujang kote.,Kalian lupa membawa laporan saat hujan.
Ngana ada lia laporan diam-diam kang.,Kamu melihat laporan diam-diam.
Dorang ba tele baju baru di Megamas neh.,Mereka menelepon baju baru di Megamas.
Torang lupa bawa tugas skripsi diam-diam neh.,Kami lupa membawa tugas skripsi diam-diam.
Tu dosen ada lia laporan di kampus sto.,Dosen itu melihat laporan di kampus.
Tu dosen so beking laporan cepat-cepat to.,Dosen itu sudah membuat laporan dengan cepat.
Dorang so jual tugas skripsi di Megamas jo.,Mereka sudah menjual tugas skripsi di Megamas.
Dorang mo pigi cari baju baru tadi pagi neh.,Mereka akan pergi mencari baju baru tadi pagi.
Dia so jual oto cepat-cepat sto.,Dia sudah menjual mobil dengan cepat.
Mama so makang baju baru cepat-cepat to.,Ibu sudah makan baju baru dengan cepat.
Dorang nyanda suka oto di Megamas sto.,Mereka tidak suka mobil di Megamas.
Paitua so jual baju baru diam-diam neh.,Pacar (lk) sudah menjual baju baru diam-diam.
Dia nyanda suka hp pas ujang kote.,Dia tidak suka handphone saat hujan.
Tu dosen mo pigi cari makanan diam-diam kote.,Dosen itu akan pergi mencari makanan diam-diam.
Tu dosen mo pigi cari tugas skripsi kemarin sore to.,Dosen itu akan pergi mencari tugas skripsi kemarin sore.
Mama ada lia hp cepat-cepat sto.,Ibu melihat handphone dengan cepat.
Ngoni so beking oto di Megamas dang.,Kalian sudah membuat mobil di Megamas.
Ngana so beking doi di Megamas kote.,Kamu sudah membuat uang di Megamas.
Dia so beking baju baru tadi pagi neh.,Dia sudah membuat baju baru tadi pagi.
Ngoni ba tele baju baru kemarin sore kang.,Kalian menelepon baju baru kemarin sore.
Paitua mo pigi cari makanan diam-diam sto.,Pacar (lk) akan pergi mencari makanan diam-diam.
Tu dosen ada lia laporan di kampus jo.,Dosen itu melihat laporan di kampus.
Mama so beking kunci rumah di Megamas neh.,Ibu sudah membuat kunci rumah di Megamas.
Dorang so beking hp diam-diam jo.,Mereka sudah membuat handphone diam-diam.
Ngana so jual kunci rumah diam-diam jo.,Kamu sudah menjual kunci rumah diam-diam.
Mama so makang oto pas ujang kote.,Ibu sudah makan mobil saat hujan.
Torang nyanda suka hp tadi pagi kang.,Kami tidak suka handphone tadi pagi.
Tu dosen ba tele laporan kemarin sore jo.,Dosen itu menelepon laporan kemarin sore.
Mama lupa bawa kunci rumah cepat-cepat jo.,Ibu lupa membawa kunci rumah dengan cepat.
Kita mo pigi cari doi tadi pagi kote.,Saya akan pergi mencari uang tadi pagi.
Kita so makang makanan tadi pagi jo.,Saya sudah makan makanan tadi pagi.
Dia ba tele tugas skripsi diam-diam jo.,Dia menelepon tugas skripsi diam-diam.
Dia ba tele kunci rumah diam-diam kote.,Dia menelepon kunci rumah diam-diam.
Ngoni mo pigi cari kunci rumah di kampus jo.,Kalian akan pergi mencari kunci rumah di kampus.
Kita ada lia laporan pas ujang jo.,Saya melihat laporan saat hujan.
Maitua ba tele hp diam-diam sto.,Pacar (pr) menelepon handphone diam-diam.
Ngana ba tele hp pas ujang neh.,Kamu menelepon handphone saat hujan.
Paitua mo pigi cari makanan cepat-cepat kang.,Pacar (lk) akan pergi mencari makanan dengan cepat.
Paitua lupa bawa doi diam-diam sto.,Pacar (lk) lupa membawa uang diam-diam.
Ngoni lupa bawa laporan kemarin sore jo.,Kalian lupa membawa laporan kemarin sore.
Maitua lupa bawa tugas skripsi tadi pagi to.,Pacar (pr) lupa membawa tugas skripsi tadi pagi.
Ngoni ba tele kunci rumah diam-diam dang.,Kalian menelepon kunci rumah diam-diam.
Dia so makang tugas skripsi di kampus jo.,Dia sudah makan tugas skripsi di kampus.
Dorang so jual tugas skripsi tadi pagi jo.,Mereka sudah menjual tugas skripsi tadi pagi.
Tu dosen so makang makanan di Megamas to.,Dosen itu sudah makan makanan di Megamas.
Kita so jual tugas skripsi di Megamas neh.,Saya sudah menjual tugas skripsi di Megamas.
Dia mo pigi cari doi pas ujang kang.,Dia akan pergi mencari uang saat hujan.
Kita so jual tugas skripsi cepat-cepat to.,Saya sudah menjual tugas skripsi dengan cepat.
Dorang ba tele baju baru kemarin sore kang.,Mereka menelepon baju baru kemarin sore.
Mama nyanda suka hp diam-diam kote.,Ibu tidak suka handphone diam-diam.
Kita ba tele baju baru diam-diam to.,Saya menelepon baju baru diam-diam.
Tu dosen so jual tugas skripsi pas ujang kang.,Dosen itu sudah menjual tugas skripsi saat hujan.
Tu dosen so makang oto tadi pagi sto.,Dosen itu sudah makan mobil tadi pagi.
Torang so makang makanan tadi pagi to.,Kami sudah makan makanan tadi pagi.
Dia lupa bawa makanan di kampus to.,Dia lupa membawa makanan di kampus.
Tu dosen ba tele tugas skripsi di kampus neh.,Dosen itu menelepon tugas skripsi di kampus.
Dorang lupa bawa kunci rumah diam-diam kote.,Mereka lupa membawa kunci rumah diam-diam.
Ngoni nyanda suka tugas skripsi cepat-cepat dang.,Kalian tidak suka tugas skripsi dengan cepat.
Dia lupa bawa makanan di kampus neh.,Dia lupa membawa makanan di kampus.
Ngana so jual laporan diam-diam to.,Kamu sudah menjual laporan diam-diam.
Maitua so makang baju baru tadi pagi neh.,Pacar (pr) sudah makan baju baru tadi pagi.
Kita so jual tugas skripsi di Megamas dang.,Saya sudah menjual tugas skripsi di Megamas.
Ngana ada lia tugas skripsi tadi pagi kote.,Kamu melihat tugas skripsi tadi pagi.
Ngoni so jual oto tadi pagi sto.,Kalian sudah menjual mobil tadi pagi.
Dorang mo pigi cari kunci rumah cepat-cepat kote.,Mereka akan pergi mencari kunci rumah dengan cepat.
Kita so makang laporan pas ujang neh.,Saya sudah makan laporan saat hujan.
Ngana so jual hp cepat-cepat dang.,Kamu sudah menjual handphone dengan cepat.
Dorang mo pigi cari tugas skripsi pas ujang jo.,Mereka akan pergi mencari tugas skripsi saat hujan.
Dorang so beking oto di kampus dang.,Mereka sudah membuat mobil di kampus.
Ngoni nyanda suka makanan di Megamas jo.,Kalian tidak suka makanan di Megamas.
Maitua mo pigi cari makanan diam-diam kote.,Pacar (pr) akan pergi mencari makanan diam-diam.
Paitua ada lia laporan diam-diam neh.,Pacar (lk) melihat laporan diam-diam.
Dorang so beking kunci rumah tadi pagi kote.,Mereka sudah membuat kunci rumah tadi pagi.
Ngana ba tele hp tadi pagi neh.,Kamu menelepon handphone tadi pagi.
Kita nyanda suka oto tadi pagi jo.,Saya tidak suka mobil tadi pagi.
Ngana lupa bawa oto kemarin sore jo.,Kamu lupa membawa mobil kemarin sore.
Mama so makang laporan di kampus dang.,Ibu sudah makan laporan di kampus.
Dia mo pigi cari oto cepat-cepat to.,Dia akan pergi mencari mobil dengan cepat.
Tu dosen nyanda suka doi kemarin sore sto.,Dosen itu tidak suka uang kemarin sore.
Ngoni nyanda suka hp pas ujang neh.,Kalian tidak suka handphone saat hujan.
Dorang lupa bawa laporan kemarin sore to.,Mereka lupa membawa laporan kemarin sore.
Dorang ada lia doi pas ujang to.,Mereka melihat uang saat hujan.
Paitua so beking hp di kampus to.,Pacar (lk) sudah membuat handphone di kampus.
Kita lupa bawa hp tadi pagi sto.,Saya lupa membawa handphone tadi pagi.
Dorang so makang hp di kampus jo.,Mereka sudah makan handphone di kampus.
Dia mo pigi cari baju baru cepat-cepat sto.,Dia akan pergi mencari baju baru dengan cepat.
Mama ba tele oto kemarin sore neh.,Ibu menelepon mobil kemarin sore.
Ngana ada lia kunci rumah di kampus sto.,Kamu melihat kunci rumah di kampus.
Dorang lupa bawa doi di Megamas to.,Mereka lupa membawa uang di Megamas.
Paitua ba tele tugas skripsi kemarin sore neh.,Pacar (lk) menelepon tugas skripsi kemarin sore.
Ngana lupa bawa hp di kampus kang.,Kamu lupa membawa handphone di kampus.
Dorang ba tele kunci rumah tadi pagi kang.,Mereka menelepon kunci rumah tadi pagi.
Mama lupa bawa kunci rumah pas ujang jo.,Ibu lupa membawa kunci rumah saat hujan.
Tu dosen nyanda suka laporan kemarin sore kote.,Dosen itu tidak suka laporan kemarin sore.
Kita so makang oto kemarin sore sto.,Saya sudah makan mobil kemarin sore.
Kita so jual tugas skripsi di Megamas jo.,Saya sudah menjual tugas skripsi di Megamas.
Tu dosen nyanda suka tugas skripsi pas ujang kote.,Dosen itu tidak suka tugas skripsi saat hujan.
Ngoni so makang doi kemarin sore jo.,Kalian sudah makan uang kemarin sore.
Tu dosen so makang laporan pas ujang neh.,Dosen itu sudah makan laporan saat hujan.
Ngana nyanda suka doi di Megamas to.,Kamu tidak suka uang di Megamas.
Tu dosen ada lia kunci rumah pas ujang jo.,Dosen itu melihat kunci rumah saat hujan.
Mama mo pigi cari kunci rumah di Megamas dang.,Ibu akan pergi mencari kunci rumah di Megamas.
Kita lupa bawa kunci rumah di Megamas jo.,Saya lupa membawa kunci rumah di Megamas.
Ngana nyanda suka doi kemarin sore jo.,Kamu tidak suka uang kemarin sore.
Maitua ada lia hp diam-diam kote.,Pacar (pr) melihat handphone diam-diam.
Ngana ba tele baju baru di Megamas dang.,Kamu menelepon baju baru di Megamas.
Maitua mo pigi cari kunci rumah cepat-cepat dang.,Pacar (pr) akan pergi mencari kunci rumah dengan cepat.
Maitua so jual makanan diam-diam kang.,Pacar (pr) sudah menjual makanan diam-diam.
Tu dosen ada lia laporan diam-diam kote.,Dosen itu melihat laporan diam-diam.
Dia ba tele hp pas ujang dang.,Dia menelepon handphone saat hujan.
Mama mo pigi cari kunci rumah di kampus jo.,Ibu akan pergi mencari kunci rumah di kampus.
Maitua so makang hp cepat-cepat sto.,Pacar (pr) sudah makan handphone dengan cepat.
Tu dosen ada lia tugas skripsi tadi pagi kote.,Dosen itu melihat tugas skripsi tadi pagi.
Tu dosen so beking oto di kampus dang.,Dosen itu sudah membuat mobil di kampus.
Tu dosen lupa bawa kunci rumah di Megamas kote.,Dosen itu lupa membawa kunci rumah di Megamas.
Torang so makang laporan di Megamas sto.,Kami sudah makan laporan di Megamas.
Dorang so beking hp cepat-cepat kote.,Mereka sudah membuat handphone dengan cepat.
Ngana ba tele makanan diam-diam kote.,Kamu menelepon makanan diam-diam.
Mama ada lia oto kemarin sore neh.,Ibu melihat mobil kemarin sore.
Tu dosen so beking doi pas ujang kote.,Dosen itu sudah membuat uang saat hujan.
Paitua nyanda suka kunci rumah di kampus jo.,Pacar (lk) tidak suka kunci rumah di kampus.
Dia lupa bawa oto pas ujang dang.,Dia lupa membawa mobil saat hujan.
Mama so makang kunci rumah pas ujang neh.,Ibu sudah makan kunci rumah saat hujan.
Ngana ba tele laporan pas ujang kote.,Kamu menelepon laporan saat hujan.
Ngana so jual kunci rumah di Megamas to.,Kamu sudah menjual kunci rumah di Megamas.
Tu dosen so beking hp kemarin sore to.,Dosen itu sudah membuat handphone kemarin sore.
Kita mo pigi cari laporan kemarin sore to.,Saya akan pergi mencari laporan kemarin sore.
Tu dosen lupa bawa kunci rumah di kampus jo.,Dosen itu lupa membawa kunci rumah di kampus.
Dorang ada lia makanan cepat-cepat dang.,Mereka melihat makanan dengan cepat.
Tu dosen so beking laporan diam-diam sto.,Dosen itu sudah membuat laporan diam-diam.
Dia so beking kunci rumah cepat-cepat neh.,Dia sudah membuat kunci rumah dengan cepat.
Ngana mo pigi cari oto cepat-cepat kote.,Kamu akan pergi mencari mobil dengan cepat.
Maitua so makang baju baru kemarin sore kote.,Pacar (pr) sudah makan baju baru kemarin sore.
Maitua so makang doi diam-diam neh.,Pacar (pr) sudah makan uang diam-diam.
Paitua so beking oto cepat-cepat jo.,Pacar (lk) sudah membuat mobil dengan cepat.
Ngoni nyanda suka laporan di Megamas kote.,Kalian tidak suka laporan di Megamas.
Dorang ba tele hp di kampus jo.,Mereka menelepon handphone di kampus.
Dia so jual hp kemarin sore sto.,Dia sudah menjual handphone kemarin sore.
Tu dosen ba tele hp pas ujang jo.,Dosen itu menelepon handphone saat hujan.
Maitua ada lia hp tadi pagi kang.,Pacar (pr) melihat handphone tadi pagi.
Paitua so makang kunci rumah diam-diam jo.,Pacar (lk) sudah makan kunci rumah diam-diam.
Dia ba tele laporan pas ujang dang.,Dia menelepon laporan saat hujan.
Dia ba tele kunci rumah di Megamas sto.,Dia menelepon kunci rumah di Megamas.
Kita mo pigi cari hp cepat-cepat jo.,Saya akan pergi mencari handphone dengan cepat.
Maitua nyanda suka oto di Megamas dang.,Pacar (pr) tidak suka mobil di Megamas.
Ngoni lupa bawa oto di kampus jo.,Kalian lupa membawa mobil di kampus.
Kita so makang baju baru kemarin sore jo.,Saya sudah makan baju baru kemarin sore.
Maitua mo pigi cari makanan pas ujang to.,Pacar (pr) akan pergi mencari makanan saat hujan.
